Player,Team,Position,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,
Davion Bailey,BLLST,SG,26,32.8,12.6,4.5,10.2,0.44,2.5,5.9,0.425,1.1,1.3,0.829,0.2,3.5,3.7,1.5,1,0.1,1,2.2,
Blake Lampman,OAKL,SG,28,34.6,12.6,4,10.6,0.378,3.1,8.5,0.363,1.5,1.7,0.915,0.7,2.5,3.2,3,1.1,0.7,1.6,1.8,
Brett Thompson,YSU,SG,32,31.1,12.6,4.2,9.9,0.42,1.5,4.7,0.32,2.8,3.5,0.802,0.6,2.3,2.8,4.1,1.1,0.1,2,1.9,
Casey Jones,EWASH,SG,32,26.6,12.6,3.5,7,0.507,0.7,1.9,0.344,4.9,6.8,0.712,0.8,3.6,4.4,1.8,1,0.5,2.2,2.3,
Vukasin Masic,UP,SG,32,32.5,12.5,4.5,9.5,0.469,1.6,4,0.403,1.9,2.5,0.763,0.2,4,4.2,2.9,0.7,0,2,1.1,
Quinn Denker,IDAHO,SG,32,33,12.5,4.5,11.4,0.393,1.5,4.4,0.34,2,2.4,0.844,0.5,2.8,3.3,3.7,0.6,0.1,2.1,2.4,
Josiah Hammons,UIW,SG,30,29.4,12.5,3.6,9.7,0.372,2.7,7.6,0.355,2.6,3.1,0.828,0.4,2.9,3.3,1.2,0.8,0.2,1.4,2.2,
Noa Gonsalves,UTECH,SG,31,35.5,12.4,4.4,9.7,0.453,2.1,5.5,0.384,1.5,1.9,0.783,0.3,2.7,3,1.5,1.1,0.1,1.7,1.7,
Malik Thomas,SANFR,SG,33,23.1,12.4,4.2,8.8,0.474,1.5,3.6,0.4,2.6,3.1,0.861,0.6,2.1,2.7,0.5,0.8,0,0.9,2.1,
Augustas Marciulionis,STMRY,SG,34,33.2,12.4,4.4,9.9,0.438,1.1,3.2,0.343,2.6,3.4,0.763,0.6,2.7,3.3,5.3,1.4,0.2,2,2.2,
Darius Brown II,USU,SG,35,36.1,12.3,4.3,9.7,0.446,1.8,4.6,0.398,1.8,2.1,0.865,0.6,3.7,4.3,6.5,1.5,0.2,1.9,1.3,
Ishmael Leggett,PITT,SG,32,28.6,12.3,4.4,10.3,0.427,1.1,3.2,0.343,2.5,2.9,0.859,1.7,3.8,5.5,1.9,1.3,0.2,1.3,1.8,
Isaac McKneely,UVA,SG,33,32.3,12.3,4.2,10.2,0.409,2.5,5.5,0.445,1.5,1.8,0.847,0.2,2.8,3,1.6,0.6,0.2,1,1.5,
Kalil Thomas,MRHD,SG,34,31.9,12.3,4.1,9.1,0.444,3.1,7.2,0.429,1.1,1.2,0.857,0.7,3.6,4.3,1.4,0.7,0.1,1,2.1,
Alex Huibregtse,WRST,SG,32,33.1,12.3,4.7,8.9,0.525,1.9,4.5,0.417,1.1,1.3,0.829,0.3,3.5,3.8,3.3,0.8,0.2,1.5,2.2,
Isaiah Moses,UCR,SG,33,29.9,12.2,4.1,10.3,0.399,1.6,4.8,0.329,2.3,2.8,0.846,0.5,2.4,2.9,3.8,0.9,0,2.2,1.7,
Max Rice,BOISE,SG,33,31.9,12.2,3.8,10.3,0.372,2.2,6.4,0.349,2.2,2.6,0.839,0.6,3.1,3.7,1.8,0.9,0,1.6,2.5,
"Steven Verplancken, Jr.",WEBER,SG,32,32.9,12.1,4.2,9.9,0.427,2.2,5.8,0.384,1.5,1.8,0.825,0.5,2.3,2.8,1.3,0.7,0,0.8,1.6,
Jadon Jones,LBSU,SG,34,30.4,12.1,3.8,9.1,0.419,2.3,6,0.377,2.2,2.6,0.852,0.5,2.8,3.3,1.6,1.8,1,1.1,2.4,
K.J. Jenkins,UNCW,SG,31,25.7,12.1,4.2,10.3,0.412,2.7,7.4,0.37,0.9,1.1,0.824,0.2,2.2,2.4,0.9,0.9,0,0.7,1.5,
Terence Harcum,APPST,SG,34,28.1,12,3.9,10.4,0.375,2.1,6,0.356,2,2.5,0.802,0.3,2.2,2.5,1,0.7,0.1,1,1.9,
Adam Miller,ASU,SG,23,31.4,12,3.8,9.7,0.393,1.6,5.3,0.303,2.7,3.3,0.818,0.2,3,3.2,1.6,0.8,0.1,1.6,1.6,
D.Q. Nicholas,GWU,SG,33,31,12,4.1,10.2,0.398,1.4,3.9,0.359,2.5,3.8,0.648,0.6,3.4,4,2.8,0.8,0.2,1.8,1.7,
Raheem Anthony,STTOM,SG,32,29.6,11.9,3.9,8,0.49,1.1,2.5,0.443,3,4.1,0.72,1.3,3.5,4.8,3.3,1.4,0.1,2.5,1.8,
Madison Durr,CTDL,SG,32,33.7,11.9,3.9,9,0.429,0.5,1.9,0.274,3.6,4.8,0.758,0.6,3.6,4.2,3.3,0.9,0.3,2.2,2.6,
Drake Allen,UVU,SG,30,29.1,11.9,4.5,10.1,0.444,0.5,2.3,0.232,2.4,3.8,0.632,0.6,2.8,3.4,4.3,1.5,0.4,2,2.6,
Samuel Tabe,USA,SG,29,22.5,11.9,4.5,8.4,0.531,0,0.1,0,2.9,3.8,0.764,1.5,2.4,3.9,1.1,0.7,0,1.8,2.1,
Justin Bailey,USCU,SG,30,28.8,11.8,3.8,9.1,0.415,1.4,4.4,0.313,2.9,3.9,0.746,0.7,2.6,3.3,1.1,1.4,0.1,1.3,3.2,
Tayton Conerway,TROY,SG,32,19.9,11.8,3.9,8.2,0.475,0.8,2.6,0.329,3.1,4.4,0.709,1,1.8,2.8,2.5,2.1,0.3,2.3,2.2,
Hunter-Jack Madden,ACU,SG,34,32.5,11.8,3.5,8.8,0.393,1.9,4.8,0.389,3,3.7,0.808,0.6,2.4,3,2,1.1,0,1.6,2,
Dillon Bailey,WOFF,SG,32,27.2,11.8,3.7,8.6,0.424,2,5.6,0.356,2.4,3.4,0.722,0.4,1.9,2.3,1.5,0.5,0,1.5,1.8,
Brandon Rush,YSU,SG,32,26.5,11.7,4.1,10.5,0.386,2.3,7.2,0.322,1.3,1.5,0.837,0.8,3.4,4.1,0.7,1.1,0.3,1.1,1.3,
Lance Jones,PURD,SG,39,28.7,11.7,3.9,9.6,0.413,2.1,5.7,0.357,1.8,2.4,0.742,0.5,2.3,2.7,1.9,1.3,0.2,1.5,1.9,
J'Vonne Hadley,COLO,SG,36,34.3,11.6,3.9,7.3,0.538,0.6,1.3,0.417,3.2,3.8,0.839,1.4,4.6,6,2.4,1.2,0.3,1.3,1.7,
Allen Betrand,NORF,SG,34,24,11.5,4.1,8.8,0.467,1.1,3.1,0.375,2.1,2.5,0.847,0.8,2,2.8,1.2,0.8,0.2,1.4,2.2,
Xavier DuSell,FRSNO,SG,33,32.2,11.5,3.8,8.9,0.423,2.7,6.8,0.395,1.3,1.6,0.827,0.1,2,2.1,0.5,0.6,0.1,0.7,1.6,
Nazir Williams,COR,SG,29,24.9,11.4,4,8.8,0.453,1.3,3.9,0.333,2.2,2.8,0.8,0.5,3.3,3.8,3.2,0.6,0,2,1.8,
Josh Pierre-Louis,UCSB,SG,30,30.4,11.4,4.5,8.5,0.531,0.6,1.6,0.354,1.9,2.8,0.667,0.8,4,4.8,3.2,1.5,0.3,2.9,1.9,
C.J. Jones,UIC,SG,33,33.4,11.4,4.5,10.7,0.425,0.9,2.5,0.378,1.4,2.2,0.616,0.5,2.9,3.5,4.8,0.9,0.4,2.8,2.5,
Otega Oweh,OKLA,SG,32,24.9,11.4,4.3,8.6,0.493,0.6,1.7,0.377,2.3,3.5,0.643,0.9,2.8,3.8,1,1.5,0.4,1.8,2.4,
"Darin Green, Jr.",FLAST,SG,32,30.1,11.3,4.1,10,0.406,2.4,6.4,0.38,0.8,1.1,0.714,0.3,2.7,3,1,1.4,0.1,1.1,2,
Johnathan Massie,LONG,SG,34,25.4,11.3,3.6,9.6,0.374,1.1,3.1,0.346,3.1,4.4,0.689,1,4.1,5.2,1.8,1.2,0.4,1.6,1.8,
Christian Cook,NMSU,SG,32,29.9,11.3,3.8,9.5,0.403,1.8,5.3,0.351,1.8,2.1,0.838,0.3,2.3,2.6,1.1,0.7,0.3,0.7,1.8,
Christian Tucker,UTSA,SG,32,33.4,11.3,3.2,7.8,0.41,1,3.2,0.304,3.9,4.5,0.875,0.4,2.5,2.9,5.4,1.1,0.3,2.1,2.6,
Shamir Bogues,UVM,SG,29,27.9,11.3,4.8,9.3,0.513,0.3,1.4,0.238,1.4,2.3,0.612,1.3,3.9,5.2,2.6,1.9,0.4,1.6,1.4,
Xavier Bell,WICHI,SG,34,30.2,11.3,4.4,10.2,0.436,0.5,1.8,0.29,1.9,2.5,0.733,0.4,2.8,3.2,2.4,1.1,0.2,2.4,2.1,
Jackson Benigni,STONE,SG,23,27.2,11.3,4,10,0.404,1.5,4.7,0.321,1.7,2.3,0.717,0.2,2.4,2.7,1,1.4,0,1.9,1.4,
"Jameer Nelson, Jr.",TCU,SG,34,25,11.2,3.8,8.7,0.434,1,3.2,0.306,2.6,3.6,0.738,0.2,2.4,2.6,3.3,2.1,0.4,2.3,2,
Javohn Garcia,MCNST,SG,32,26.8,11.2,3.8,8.2,0.462,1.3,2.8,0.444,2.3,3.1,0.75,0.7,2.5,3.3,1.7,1.3,0.4,0.8,3,
Alejandro Vasquez,UAB,SG,34,23,11.1,3.9,8.8,0.44,1.2,3.1,0.394,2.2,2.8,0.809,1.3,2.1,3.4,1.1,0.6,0.3,1.2,2,
Will Johnston,LOYMR,SG,31,28.9,11.1,3.8,9.5,0.401,2.1,5.5,0.378,1.4,1.7,0.815,0.2,2.2,2.5,2.7,0.6,0,1.4,2.1,
Ty Berry,NWU,SG,24,28.5,11.1,3.7,8.3,0.449,2.3,5.3,0.433,1.4,1.6,0.895,0.5,3.3,3.8,1.4,1.3,0,1.1,2,
Koren Johnson,UWASH,SG,31,24.2,11.1,4,9,0.441,1.3,3.5,0.373,1.8,2.5,0.722,0.7,1.5,2.2,2.7,1.2,0.3,1.4,2.2,
Jaxon Brenchley,DEN,SG,34,29.2,11.1,3.8,7.4,0.512,0.9,2.1,0.414,2.6,3.6,0.732,1.5,4.1,5.6,2.8,1.2,0.4,1,1.5,
Nakyel Shelton,EIU,SG,29,26.9,11,4,9.6,0.419,1.3,3.9,0.339,1.7,2.1,0.774,1.3,3.1,4.4,1.9,0.4,0.3,1.6,2.2,
Curtis Jones,IWAST,SG,37,26.9,11,3.8,9.7,0.39,2,5.6,0.351,1.5,1.8,0.809,0.3,2.6,2.9,2,1.4,0.1,0.8,1.7,
"Keion Brooks, Jr.",UWASH,SF,32,35.1,21.1,7.1,14.6,0.487,1.6,4.3,0.38,5.2,6.5,0.794,1.5,5.4,6.8,1.4,0.7,0.8,1.9,2.3,
Jayden Stone,UDM,SF,26,35.9,20.8,7.2,17.1,0.422,2.4,7.7,0.312,4,5,0.794,0.9,4.7,5.6,2.7,1.5,0.3,2.5,1.7,
Xander Rice,MONM,SF,33,35.2,20.4,6.1,15.9,0.383,2.8,7.9,0.349,5.5,6.5,0.85,0.6,2.4,3,3.6,1.3,0.1,2.1,1.6,
Antonio Reeves,UK,SF,33,31.4,20.2,7.1,13.9,0.512,2.5,5.7,0.447,3.4,4,0.863,0.7,3.4,4.2,1.6,0.7,0.2,1.2,1.8,
Frank Fidler,OMAHA,SF,33,36,20.1,6,13.3,0.452,1.6,4.4,0.356,6.5,7.7,0.854,1.2,5.1,6.3,2.6,1.2,0.4,1.6,2.3,
Tyon Grant-Foster,GCU,SF,34,33.4,20.1,6.2,14,0.446,1.5,4.4,0.331,6.2,8.3,0.745,1.3,4.8,6.1,1.6,1.7,1.5,2.5,2.3,
Ajay Mitchell,UCSB,SF,29,31.5,20,6.7,13.3,0.504,1.1,2.9,0.393,5.4,6.3,0.858,0.2,3.8,4,4,1.2,0.4,2.6,2.6,
Trazarien White,UNCW,SF,30,30.3,19.8,6.7,13.7,0.493,0.8,2,0.39,5.5,7.7,0.716,2,4.8,6.8,1.6,0.8,0.4,2.5,2.1,
Saint Thomas,NOCOL,SF,32,34.8,19.7,7,14.8,0.472,2,6.2,0.33,3.7,4.3,0.868,1.8,8,9.8,4.2,1.7,0.9,3,2.6,
Chaz Lanier,UNF,SF,32,33.3,19.7,6.7,13.1,0.51,3.3,7.5,0.44,3,3.4,0.88,0.7,4.1,4.8,1.8,0.9,0.3,1.6,1.5,
Jaylon Tyson,Cal,SF,31,34.3,19.6,7.2,15.4,0.465,1.6,4.5,0.36,3.6,4.6,0.796,1.6,5.1,6.8,3.5,1.2,0.5,3.1,2.1,
Clarence Daniels,NEWHA,SF,31,32.9,19.4,6.7,14.6,0.458,1.7,4.7,0.363,4.4,5.4,0.804,1.5,8.1,9.6,0.4,1.4,0.5,2.5,1.7,
Dion Brown,UMBC,SF,32,32.3,19,7.7,15.2,0.506,1.4,4,0.349,2.2,2.9,0.761,2.7,4.9,7.6,2.6,1.3,0.5,3.1,2.8,
"Ken Evans, Jr.",JKSN,SF,32,35.8,18.8,5.9,14.5,0.408,1.9,4.9,0.392,5,6.4,0.782,1.3,4.2,5.4,2.9,1.3,0.2,2.9,1.8,
"Wesley Cardet, Jr.",CHIST,SF,31,34.5,18.7,6.3,14.2,0.444,1.4,4.1,0.344,4.6,6.4,0.719,1.5,3,4.5,2.6,0.9,0.5,2.9,1.5,
Enrique Freeman,AKR,SF,35,32.4,18.6,6.7,11.4,0.584,0.6,1.5,0.37,4.7,6.5,0.728,3.6,9.4,12.9,1.6,0.8,1.7,2.5,2.8,
Baylor Scheierman,CREI,SF,35,36.7,18.5,6.3,14,0.448,3.1,8.3,0.381,2.8,3.2,0.876,0.7,8.3,9,3.9,0.9,0.1,2.2,1.7,
Robert McCray V,JAC,SF,32,30.6,18.4,6.6,13.2,0.502,1.7,4.7,0.358,3.5,4.8,0.716,1.2,3,4.2,2.9,1.3,0.2,2.5,2.4,
"Kevin McCullar, Jr.",KU,SF,26,34.3,18.3,6.1,13.5,0.454,1.5,4.5,0.333,4.6,5.7,0.805,0.8,5.2,6,4.1,1.5,0.4,2.5,1.9,
Quan Brown,MVSU,SF,30,35.4,18.3,6.6,14.9,0.44,1.4,4.2,0.323,3.8,5.3,0.713,2.3,3.7,6,1.2,1.1,0.6,2.1,1.7,
Caleb Love,ARZ,SF,36,32.2,18,6.1,14.7,0.413,2.6,7.7,0.332,3.3,4,0.839,0.7,4.1,4.8,3.4,1.2,0.3,2.1,1.1,
Dakota Leffew,MSMU,SF,30,35.5,17.6,6.5,15.1,0.43,2.5,6.8,0.365,2.2,2.8,0.765,0.5,3.8,4.3,3.9,1.5,0.6,2.9,1.8,
Kam Jones,MARQ,SF,36,29,17.2,6.5,13,0.501,2.6,6.5,0.406,1.5,2.1,0.724,0.4,2.4,2.9,2.4,1.1,0.1,1.4,2,
Kylen Milton,UAPB,SF,29,31.8,17,5,9.8,0.505,1.2,3.3,0.351,5.9,8,0.737,1.3,5.3,6.6,2.9,1.2,0.3,2.1,2.4,
Deyton Albury,QUC,SF,32,28.3,17,5.8,12.1,0.482,0.6,1.7,0.364,4.7,6.3,0.75,0.8,5,5.8,3.7,1.2,0.4,3.3,2.6,
Marcus Foster,FRMN,SF,24,31.2,17,5.7,13.3,0.425,2,6.9,0.297,3.6,4.5,0.813,0.9,6.6,7.5,1.8,1,0.3,2,1.9,
DeMarcus Sharp,APSU,SF,29,35.7,16.9,7.1,15.7,0.453,0,0.5,0.067,2.7,3.6,0.748,1,5.4,6.4,4.2,1.9,0.9,1.9,2.6,
Aanen Moody,MONT,SF,36,33.4,16.8,6.3,12.9,0.492,2.4,6.2,0.39,1.8,2,0.875,0.3,3.1,3.4,2.3,0.9,0.1,1.7,2.1,
A.J. Storr,UWISC,SF,36,28.8,16.8,6,13.8,0.434,1.3,4.2,0.32,3.5,4.3,0.812,1.1,2.8,3.9,0.9,0.6,0.1,1.6,1.1,
Desmond Claude,XAV,SF,34,33.6,16.6,6,14.1,0.426,0.8,3.3,0.239,3.9,4.9,0.794,1,3.2,4.2,3.2,1.1,0.3,2.2,2.1,
Jermaine Couisnard,OREG,SF,36,32.4,16.6,5.5,13.8,0.4,2,5.9,0.346,3.5,4.6,0.754,1.1,3.4,4.6,3.3,1.6,0.2,1.7,2.2,
Tyler Stephenson-Moore,SB,SF,33,34.9,16.6,5.4,12,0.446,2.6,6.1,0.435,3.2,3.8,0.848,1.2,2.7,3.8,1.2,1.1,0.7,1.1,2.1,
Bryce Harris,HWRD,SF,35,31.6,16.6,5.8,10.7,0.547,0.8,2.1,0.375,4.1,5.6,0.74,2.9,4.7,7.5,1.7,1.1,1.1,1.7,2.4,
Ryan Conwell,INDST,SF,38,34,16.6,5.4,11.1,0.482,2.9,7.1,0.407,2.9,3.4,0.855,0.8,5,5.8,2.5,1.1,0.3,1.7,2.8,
Kalen Williams,TAMUC,SF,33,31.6,16.4,5.8,13.2,0.444,1.4,4.6,0.311,3.2,4.3,0.759,1,2.5,3.5,2.9,1.1,0.1,2,1.6,
Payton Sandfort,IOWA,SF,34,30.5,16.4,5.3,11.9,0.446,2.8,7.3,0.379,3,3.3,0.911,1.2,5.4,6.6,2.7,0.7,0.4,1.3,2.5,
Colby Rogers,WICHI,SF,34,35,16.4,5.6,14,0.4,2.9,7.1,0.409,2.3,2.7,0.828,0.5,2.9,3.4,1.9,1,0.3,1.6,1.8,
Isaiah Crawford,LATCH,SF,32,32.9,16.3,5.7,11.7,0.485,1.3,3.1,0.414,3.7,5.1,0.728,1.9,4.3,6.2,2.4,2.1,1.7,2.5,2.3,
Tanner Holden,WRST,SF,32,33.2,16.3,6.1,11,0.553,0.4,1.1,0.4,3.8,5.4,0.698,1.7,4.7,6.4,3.6,1.8,0.4,2.5,2.7,
A.J. Smith,CTDL,SF,29,32.1,16.2,6,13.3,0.453,1.2,3.4,0.354,3,3.7,0.796,0.8,3.5,4.3,1.3,0.7,0,1.8,1.8,
Dusan Neskovic,DART,SF,23,26.1,16,5.6,12.9,0.432,2.1,5.9,0.363,2.8,3.7,0.753,0.7,3.3,4,1.1,0.6,0.1,2.3,1.6,
Jack Forrest,BUCK,SF,33,36.1,16,5.5,13.4,0.408,2.6,7,0.371,2.5,3.1,0.802,0.7,4.5,5.2,1.5,1.1,0.3,1.7,2.2,
Marcus Domask,ILL,SF,38,34.6,15.9,5.7,12.6,0.453,1.1,3.6,0.297,3.4,3.9,0.872,1.1,3.9,5,3.9,0.4,0.3,2.3,1.3,
Kadary Richmond,SETON,SF,35,32.7,15.7,5.8,13.1,0.441,0.5,1.8,0.27,3.7,4.6,0.807,1.7,5.3,7,5.1,2.1,0.6,3.1,1.7,
Jalen Jackson,IPFW,SF,36,30.3,15.7,5.4,10.9,0.497,1.1,2.8,0.41,3.7,5.2,0.711,0.6,4,4.6,2.5,1.6,0.4,1.9,2.3,
Ebby Asamoah,ETSU,SF,34,30.6,15.6,5.1,12.8,0.403,3,8.3,0.363,2.4,3,0.777,0.6,3.3,3.9,0.8,0.7,0.6,1.6,2.4,
Corey Tripp,WOFF,SF,32,30.5,15.6,6,14,0.429,1.6,5.8,0.277,2,2.6,0.793,0.8,3.7,4.5,3.4,0.7,0.2,2.1,1.9,
"Darren Buchanan, Jr.",GW,SF,29,31,15.6,5.5,10.1,0.546,0.3,1.1,0.323,4.2,6.7,0.634,1.7,4.8,6.6,2.4,1.3,0.4,2.2,1.7,
Jordan Lathon,MRHD,SF,31,30.8,15.6,5.7,13.1,0.437,2.1,5.5,0.384,2,2.6,0.756,1,5,6,2.4,1,0.3,1.9,2,
Jay Alvarez,HCU,SF,25,30.6,15.6,5.9,13.4,0.438,0.3,1.9,0.146,3.6,6,0.593,1.1,3.4,4.5,1.8,0.9,0.3,3.1,1.6,
Jamir Watkins,FLAST,SF,33,28.2,15.6,4.8,10.5,0.457,1,2.9,0.344,4.9,6.2,0.795,1.5,4.5,6,2.8,1.9,0.8,2.5,2.8,
Ali Abdou Dibba,ACU,SF,31,31.8,15.5,5.6,11.8,0.477,0.5,1.6,0.347,3.7,5.1,0.728,1,3.5,4.5,1.2,1.4,0.2,2.3,2.1,
Isaiah Rivera,UIC,SF,33,33.4,15.4,5.3,11.6,0.46,2.1,5,0.416,2.6,3.4,0.77,0.3,3.9,4.2,1.8,0.9,0.4,1.8,2,
Max Jones,CSFUL,SF,24,27.4,15.3,4.3,11.2,0.383,1.8,4.5,0.385,4.9,6.3,0.787,0.8,2.3,3,1.9,1.7,0.2,2.9,2.3,
Will Pruitt,LIP,SF,29,31.9,15.1,5.2,10.2,0.505,1.2,2.9,0.434,3.6,4.4,0.798,1.2,4.8,6,3.1,1.1,0.1,1.6,1.9,
Jamar Brown,UMKC,SF,32,35.1,15,5.4,11.8,0.454,1.8,5.4,0.333,2.5,2.9,0.849,2.3,3.8,6.1,1.4,1,0.3,1.8,2.1,
Jimmy Clark III,DUQ,SF,37,31,15,5.2,12.6,0.415,1.8,5.5,0.332,2.8,3.9,0.713,0.6,2.7,3.3,3.8,2.4,0.3,2.8,2.4,
"Melvin Council, Jr.",WAGNR,SF,33,35.7,14.9,5.6,14.5,0.386,0.9,3.5,0.265,2.8,3.7,0.748,1.2,4.4,5.7,3.5,1.4,0.6,1.9,1.7,
Jevin Muniz,DESU,SF,34,36.1,14.9,5.2,11.9,0.436,1.4,4.1,0.348,3,4,0.763,0.7,3,3.7,3,1.4,0.1,2,1.8,
Zhuric Phelps,SMU,SF,33,29.2,14.8,5.2,13.3,0.386,0.9,4.2,0.216,3.6,4.9,0.741,1.3,2.8,4.1,2.7,1.9,0.5,2.1,1.8,
Roger McFarlane,SELU,SF,32,35.2,14.8,5.2,12.4,0.417,1.8,5.3,0.341,2.6,3.4,0.764,1.5,7.1,8.6,1.5,0.9,0.1,1.7,1.5,
Allen Flanigan,MISS,SF,32,30.8,14.8,5,11.5,0.434,0.5,1.7,0.273,4.3,5.3,0.817,1.2,4.8,6.1,2.8,1.5,0.7,2.3,2.5,
Khalif Battle,ARK,SF,32,24.7,14.8,3.7,9.2,0.406,1.5,4.3,0.353,5.8,6.7,0.873,0.3,3,3.3,1.3,0.8,0.3,1.5,2.3,
Po'Boigh King,NCCU,SF,29,31.6,14.7,4.9,11.2,0.436,1.6,4.7,0.333,3.3,4.4,0.764,1,3.8,4.7,1.6,1.1,0.2,2,2.4,
Jamir Chaplin,UALR,SF,34,33.9,14.7,5.6,9.7,0.584,0.9,2.4,0.361,2.5,3.5,0.714,2.5,4,6.4,1.9,1.3,0.6,1.4,2.6,
Selton Miguel,USOFL,SF,33,28.5,14.7,5,12.2,0.411,2.2,5.5,0.39,2.5,3.1,0.802,0.4,2.8,3.2,2.2,1.2,0.3,1.8,1.7,
Jailen Bedford,ORU,SF,31,30.2,14.6,5.1,12.1,0.423,2.1,5.7,0.373,2.2,2.9,0.775,1.3,5.1,6.4,0.9,0.7,0.1,1.8,2.3,
Earl Timberlake,BRYNT,SF,30,34.6,14.6,6.1,9.8,0.62,0,0.3,0.111,2.3,3.9,0.603,2.3,6.7,9,3.9,1.3,1.3,2.1,3,
Anton Watson,ZAGS,SF,35,31.4,14.5,5.8,10,0.578,0.6,1.5,0.412,2.3,3.5,0.653,2.2,4.9,7.1,2.6,1.5,0.7,1.4,2.3,
Arthur Kaluma,KSU,SF,33,34.5,14.4,4.6,10.8,0.427,1.5,4.5,0.345,3.6,4.8,0.747,1.4,5.6,7,2,0.8,0.5,2.8,2.3,
Tyler Cochran,U of T,SF,32,29.8,14.4,5.7,11.6,0.495,0.9,2.5,0.346,2.1,2.9,0.702,1.7,4.8,6.4,2.1,1.9,0.2,2.2,2.6,
Adama-Alpha Bal,SCU,SF,30,31.2,14.4,4.6,10.7,0.433,1.7,4.9,0.354,3.4,4.1,0.821,0.4,2.8,3.2,3.1,0.9,0.2,2.3,2.3,
Idan Tretout,IONA,SF,28,28.1,14.2,4.7,12,0.394,2.1,5.9,0.36,2.6,3.9,0.673,0.5,2.4,2.9,2.3,1.5,0.2,2.1,2.4,
Shamar Wright,SIUE,SF,32,33.5,14.1,4.9,11,0.447,1.3,4,0.328,3,4.6,0.658,1.3,3.2,4.6,1.1,1.6,0.5,1.5,2.6,
Donovan Dent,UNM,SF,35,31.3,14.1,5.6,10.7,0.52,0.4,1.1,0.375,2.5,3.7,0.682,0.4,2.1,2.5,5.4,1.5,0.7,2.3,1.9,
Boden Skunberg,NDSU,SF,31,33.9,14.1,5,12.2,0.408,1.6,4.6,0.34,2.5,3.2,0.79,0.8,4.6,5.4,2.1,0.6,0,1.9,1.6,
Jayvis Harvey,TNTCH,SF,28,34.8,14,4.3,10.3,0.419,1.9,5.1,0.364,3.5,4.5,0.792,0.7,3.1,3.9,3,1.1,0.4,1.9,2.5,
Darius Maddox,GMU,SF,29,33.9,14,4.7,10.7,0.443,2.3,5.6,0.414,2.3,2.7,0.857,1,2.4,3.4,1.8,0.6,0.3,1.3,2.3,
Mehki Mason,RICE,SF,32,30.5,14,4.8,12.1,0.393,1.5,4.5,0.343,2.9,4.3,0.681,0.5,3.5,4,2.8,0.9,0.5,2.3,2.1,
Miles Kelly,GT,SF,32,31.8,13.9,4.7,12.7,0.369,2.2,6.7,0.321,2.4,3.3,0.733,1,4.5,5.5,1.8,0.8,0.3,2,2.4,
Jahmyl Telfort,BTLR,SF,33,34.7,13.9,5.2,12.1,0.435,1.1,3.3,0.327,2.3,2.8,0.846,1.1,3.8,4.9,3,1,0.5,1.7,1.6,
"Gerald Drumgoole, Jr.",DEL,SF,33,28.5,13.9,4.7,10.8,0.433,2.3,6.2,0.373,2.2,3.5,0.643,0.6,3.1,3.8,2.4,0.4,0.2,1.5,1.5,
Brycen Goodine,FAIR,SF,31,25.9,13.9,4.9,9.8,0.498,2.5,5.3,0.467,1.6,2.2,0.761,0.8,2.2,3,1.4,0.8,0.3,1.5,2,
Lamar Wilkerson,SHSU,SF,31,29.8,13.8,4.9,11.4,0.428,1.7,4.8,0.347,2.4,2.9,0.831,1,2.6,3.6,1.4,1,0.2,1.3,2.4,
Cameron Hildreth,WF,SF,35,34,13.8,4.7,10.3,0.454,1.1,3.3,0.351,3.3,4.1,0.804,0.4,4.3,4.7,2.4,1,0.2,2.1,2.5,
Tyrin Lawrence,VANDY,SF,28,31.1,13.8,4.4,11.1,0.399,1,3.7,0.272,3.9,5.6,0.705,0.6,4.5,5.1,1.5,1.4,0.4,1.9,1.6,
Rob Brown III,NICH,SF,32,34.4,13.8,4.5,10.5,0.429,2.5,6.1,0.408,2.3,2.9,0.777,0.5,2.6,3.1,1.6,0.8,0.2,1.7,1.7,
Keshon Gilbert,IWAST,SF,37,30.9,13.7,4.4,10,0.438,1,2.8,0.346,4,5.5,0.728,0.8,3.5,4.4,4.2,2,0.1,2.8,2.3,
Chibuzo Agbo,BOISE,SF,33,31.3,13.7,4.7,10.4,0.452,2.3,5.6,0.409,2,2.7,0.722,1.5,3.6,5.1,0.8,0.6,0.4,1.1,1.9,
"Claudell Harris, Jr.",BOS,SF,35,31.5,13.7,4.8,12,0.403,2.5,6.8,0.37,1.5,2.1,0.712,0.3,3.3,3.7,2.1,0.8,0.1,1.1,1.3,
Charles Smith IV,PVAMU,SF,30,28.1,13.6,4.6,11.2,0.412,1.2,3.6,0.336,3.2,4,0.8,0.6,2.7,3.3,1.8,1.3,0.4,2,3.1,
Jose Perez,ASU,SF,30,30.9,13.5,4.1,9.6,0.431,0.6,1.4,0.405,4.7,6.4,0.738,0.9,2.9,3.8,2.7,0.9,0.3,1.6,1.9,
Tyrone Williams,ODU,SF,31,30.9,13.5,5.3,12.4,0.426,1.1,4.1,0.273,1.8,2.9,0.611,1.1,4.5,5.6,1.1,1.5,0.3,1.3,1.5,
Tamar Bates,MZZOU,SF,32,27.3,13.5,4.8,9.7,0.495,1.1,2.8,0.385,2.8,3,0.926,0.8,2.2,3,1.3,0.8,0.2,1.7,2,
