Player,Team,Position,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,
Trey Alexander,CREI,SG,35,37.3,17.6,6.6,14.9,0.446,1.8,5.2,0.339,2.5,3.1,0.824,0.5,5.2,5.7,4.7,1.1,0.4,2.5,1.7,
Alston Mason,MZZST,SG,30,35.2,17.5,6,14.2,0.423,2.4,6.8,0.353,3.1,4,0.783,0.4,2.6,3,3.6,0.8,0.1,2.4,2.1,
Duke Miles,HP,SG,33,30.5,17.5,6.4,12.1,0.528,1.3,3.7,0.361,3.4,4.3,0.801,0.1,2.3,2.4,3.6,1.3,0.2,2,2.6,
Erik Reynolds II,STJOE,SG,35,34.7,17.3,5.5,13.1,0.42,3.2,8.4,0.38,3.1,3.5,0.871,0.3,2.4,2.7,2.7,1.2,0.2,1.4,1.9,
R.J. Felton,ECAR,SG,33,34.4,17.3,6.1,14.1,0.431,2.1,6,0.355,3,3.8,0.778,2,3.9,6,1.3,1.8,0.6,1.4,2,
"Terrence Edwards, Jr.",JMU,SG,36,30.3,17.2,5.6,13.2,0.427,1.3,3.7,0.343,4.6,5.7,0.81,1.2,3.2,4.4,3.4,0.9,0.3,2.4,1.3,
Jeremiah Hernandez,USI,SG,31,31.3,17.2,4.9,11.8,0.417,0.8,2.6,0.317,6.5,8,0.81,0.7,2.5,3.3,1.8,1.5,0.2,2.6,2.1,
Josh Hubbard,MISST,SG,35,27.6,17.1,5.3,13.7,0.385,3.1,8.7,0.355,3.5,4.1,0.853,0.3,1.9,2.2,1.7,0.7,0.1,1.2,1.4,
Xaivian Lee,PRIN,SG,29,31.1,17.1,5.9,13,0.451,1.8,5.3,0.338,3.6,4.4,0.798,0.7,5.1,5.7,3.7,1,0.5,1.4,2.1,
Jordan Derkack,MERRI,SG,32,33,17,5.4,11.5,0.466,1,3.8,0.275,5.3,7.3,0.724,1.2,4.8,6,3.9,2.1,0.2,4,2.4,
Isaiah Stafford,VAL,SG,29,32,16.9,6.1,16,0.379,2,6.7,0.294,2.8,3.8,0.734,0.6,3.2,3.7,2.1,1.6,0.2,1.5,1.9,
Max Abmas,TEXAS,SG,34,35.1,16.8,5.7,13.4,0.425,2.7,7.5,0.362,2.6,2.9,0.9,0.4,2.7,3.1,4.1,0.9,0.1,2.3,2.2,
Marcus Tankersley,UDM,SG,32,36,16.6,6.2,13.2,0.467,0.6,2.1,0.279,3.7,4.6,0.804,0.8,3,3.8,2.2,0.8,0.1,2.1,1.5,
Elijah Elliott,UTRGV,SG,30,35.3,16.6,5.7,15.7,0.363,1.1,4.9,0.231,4,5.6,0.716,0.5,3,3.5,3,1.6,0.3,2.8,2.1,
Ja'Kobi Gillespie,BLMNT,SG,26,30.2,16.5,6.3,11.3,0.561,1.6,4.1,0.387,2.3,2.7,0.831,0.5,3.2,3.7,4.1,2.1,0.3,2.3,2.2,
